Line,Point,latitude,longitude,elevation,gravbg,X,Y,Terrain,absgrav,C_bb,normalgrav,zhongjian,guance,jindigai,grav1,freeair,gravbg1,C_gravbg1,cc_bb,_Distance
2,2002,24.42824,102.48018,2067.712,-67.491,244379.471610845,2705102.81927651,3.07923319600218,978418.453,-65.5012798799454,978916.37,430.426,-67.491,0,-67.491,140.175650758962,-92.7103994545354,-89.6311662585332,-89.6311662585332,0
2,2003,24.42745,102.48153,2067.1,-67.945,244514.871771765,2705012.7676814,3.3442320929965,978418.08,-65.8974909055828,978916.317,430.292,-67.945,0,-67.945,139.667480169544,-93.1500868453219,-89.8058547523254,-89.8058547523254,162.611479790283
2,2004,24.42756,102.48304,2074.524,-67.862,244668.323260062,2705022.1731205,3.72153431468718,978416.543,-65.637838564383,978916.324,431.919,-67.862,0,-67.862,140.414021105899,-93.2342772853864,-89.5127429706993,-89.5127429706993,316.350939739338
2,2005,24.42697,102.48446,2081.817,-66.949,244811.231936558,2704954.16230357,3.88940618089026,978414.533,-64.6734248545377,978916.284,433.519,-68.232,1.283,-66.949,140.694708738274,-93.7696244458759,-89.8802182649857,-88.5972182649857,474.617679885043
2,2006,24.4278,102.48618,2088.625,-66.823,244987.442485114,2705042.98455541,4.32579349480458,978413.222,-64.2473476172418,978916.341,435.013,-68.106,1.283,-66.823,141.42822244895,-93.7978438123188,-89.4720503175142,-88.1890503175142,671.948746481358
2,2007,24.4267,102.48756,2095.781,-68.075,245125.267394335,2704918.52547433,4.31104649937712,978410.926,-65.4260126489447,978916.266,436.583,-68.757,0.682,-68.075,141.41529251726,-94.6114083327741,-90.300361833397,-89.618361833397,857.652188736013
2,2008,24.42751,102.48936,2108.019,-68.34,245309.553868602,2705004.987641,4.47047814615009,978408.472,-65.4769505224024,978916.321,439.271,-68.578,0.238,-68.34,142.682842205095,-94.7129991975896,-90.2425210514396,-90.0045210514396,1061.21350839909
2,2009,24.42945,102.49068,2137.625,-68.045,245447.399516719,2705217.57683557,4.56971068080183,978402.387,-64.8824956485231,978916.453,445.778,-68.288,0.243,-68.045,145.602286090096,-95.1053243874815,-90.5356137066797,-90.2926137066797,1314.58199174237
2,2010,24.43117,102.4914,2144.911,-67.543,245523.915563384,2705406.88677807,4.2043795142914,978401.289,-64.3622627265289,978916.57,447.381,-67.9,0.357,-67.543,146.635812687722,-94.8867254650441,-90.6823459507527,-90.3253459507527,1518.77053139695
2,2011,24.43166,102.49398,2125.456,-68.424,245786.699535975,2705456.45368883,4.07180350084388,978404.942,-65.3203129456852,978916.603,443.102,-68.559,0.135,-68.424,144.251772375476,-95.0946717452028,-91.0228682443589,-90.8878682443589,1786.18835969778
2,2012,24.43183,102.49546,2096.462,-68.498,245937.220024077,2705472.57759718,3.84384237843237,978411.081,-65.4235900956301,978916.614,436.733,-68.801,0.303,-68.498,141.431784992561,-94.6711069713502,-90.8272645929179,-90.5242645929179,1937.56998922735
2,2013,24.4299,102.4962,2078.394,-69.397,246008.441013884,2705257.31076447,4.18061143921954,978413.978,-66.3654562575373,978916.484,432.768,-69.738,0.341,-69.397,138.884251696942,-95.1970771664704,-91.0164657272508,-90.6754657272508,2164.31265978885
2,2014,24.42941,102.4978,2062.109,-70.07,246169.817897037,2705200.0671228,4.29004371615208,978417.16,-67.0134945477456,978916.45,429.198,-70.093,0.023,-70.07,137.074069175307,-95.1849929172051,-90.894949201053,-90.871949201053,2335.54155024966
2,2015,24.42645,102.49762,2002.729,-70.279,246145.62325432,2704872.33060559,3.87196665179818,978429.61,-67.329175453627,978916.249,416.202,-70.437,0.158,-70.279,131.400807422274,-94.2121384867398,-90.3401718349417,-90.1821718349417,2664.16992006199
2,2016,24.42381,102.49689,1970.021,-70.366,246066.255985575,2704581.06956497,3.51312780316441,978436.011,-67.6279876239063,978916.07,409.059,-70.999,0.633,-70.366,127.887654829961,-94.0633806616358,-90.5502528584714,-89.9172528584714,2966.05095148051
2,2017,24.42049,102.49738,1945.557,-70.685,246109.331098598,2704212.20438808,3.15474763368908,978440.735,-68.2211745444437,978915.844,403.724,-71.385,0.7,-70.685,125.287757549073,-93.9238529328581,-90.769105299169,-90.069105299169,3337.42271142796
2,2018,24.41963,102.49887,1926.843,-72.278,246258.817228358,2704114.15638051,3.31360926973673,978443.61,-69.9120306623757,978915.785,399.647,-72.528,0.25,-72.278,122.446125591339,-94.6696475266259,-91.3560382568891,-91.1060382568891,3516.19495418394
2,2019,24.41928,102.50027,1904.199,-72.687,246400.192068661,2704072.79985784,3.30218773853926,978447.653,-70.3759928446357,978915.762,394.719,-73.39,0.703,-72.687,119.525058437535,-95.0544145822939,-91.7522268437546,-91.0492268437546,3663.4946739318
2,2020,24.41844,102.5017,1884.896,-73.388,246543.632502356,2703977.08175234,3.49392021266485,978450.984,-71.1427639376829,978915.704,390.522,-74.198,0.81,-73.388,116.956302417295,-95.4608022915068,-91.966882078842,-91.156882078842,3835.93919758727
2,2021,24.41777,102.50429,1856.415,-76.094,246805.135198092,2703898.08529089,4.31256561671602,978454.696,-73.8832705439251,978915.659,384.337,-76.626,0.532,-76.094,111.92470085549,-97.3014141155718,-92.9888484988558,-92.4568484988558,4109.11331934697
2,2022,24.41722,102.50421,1838.177,-75.778,246795.918159089,2703837.27351808,4.23098174652534,978458.663,-73.5816997167301,978915.622,380.38,-76.578,0.8,-75.778,110.300894388242,-96.881548325645,-92.6505665791196,-91.8505665791196,4170.6196240675
2,2023,24.41774,102.50654,1764.087,-76.551,247033.412787145,2703890.64796906,4.01298492519543,978473.669,-74.2466420403703,978915.657,364.344,-77.644,1.093,-76.551,102.407687604429,-96.4701344414934,-92.457149516298,-91.364149516298,4414.03805059587
2,2024,24.41444,102.50499,1698.948,-78.183,246869.525853472,2703527.7323655,4.19048682987756,978486.942,-75.856210174739,978915.432,350.294,-78.197,0.014,-78.183,95.8032473930837,-95.7700570484004,-91.5795702185229,-91.5655702185229,4812.24234782897
2,2025,24.41162,102.50633,1677.214,-78.828,246999.891173914,2703212.735624,2.98707463154409,978490.792,-76.4999494881055,978915.241,345.615,-78.834,0.006,-78.828,93.1377884694543,-95.9976557397449,-93.0105811082008,-93.0045811082008,5153.1500537181
2,2026,24.41096,102.50751,1667.412,-79.63,247118.331226927,2703137.43113981,2.69185853624583,978492.059,-77.3539611083022,978915.196,343.507,-79.63,0,-79.63,91.424762809041,-96.6111012808569,-93.9192427446111,-93.9192427446111,5293.50250826307
2,2027,24.40963,102.50866,1657.04,-81.065,247232.392583112,2702987.92474557,2.41593148351634,978492.763,-78.8784453149696,978915.106,341.277,-81.065,0,-81.065,89.018346282404,-97.8539216940642,-95.4379902105479,-95.4379902105479,5481.55078635007
2,2028,24.40918,102.51023,1650.289,-82.754,247390.835091694,2702935.18602502,2.24749393244652,978492.494,-80.6410384593028,978915.075,339.827,-82.754,0,-82.754,86.6965804188244,-99.4182772384262,-97.1707833059797,-97.1707833059797,5648.54001106517
2,2029,24.40746,102.5109,1651.261,-84.053,247455.408889635,2702743.33267371,1.99936694185808,978490.854,-82.1089017979507,978914.958,340.036,-84.069,0.016,-84.053,85.4733608672829,-100.750549516041,-98.7511825741828,-98.7351825741828,5850.96897093081
1,1001,24.4429,102.52604,1685.843,-82.58,249062.156419945,2706643.69084837,3.99912222457572,978487.315,-79.0125276436911,978917.367,347.472,-82.58,0,-82.58,90.1978429472522,-99.905542388749,-95.9064201641733,-95.9064201641733,10069.3136127142
1,1002,24.4419,102.52775,1674.709,-84.26,249233.67647041,2706529.75825107,3.55025547526129,978487.961,-80.9187555654008,978917.299,345.076,-84.261,0.001,-84.26,87.475927589052,-101.378517485885,-97.8282620106234,-97.8272620106234,10275.2256435449
1,1003,24.4405,102.52868,1674.607,-85.322,249325.265960847,2706372.9083604,3.16040244012792,978486.827,-82.2651505572083,978917.204,345.054,-85.323,0.001,-85.322,86.40563681175,-102.437366010463,-99.2769635703351,-99.2759635703351,10456.8585782244
1,1004,24.44003,102.53021,1668.105,-86.619,249479.576025604,2706318.04617201,2.93281567602505,978486.897,-83.7470749566378,978917.172,343.656,-86.619,0,-86.619,84.5011000107434,-103.612509513057,-100.679693837032,-100.679693837032,10620.6311516311
1,1005,24.43918,102.53196,1663.662,-87.381,249655.458281409,2706220.67170781,2.67540803014872,978487.033,-84.7316325691826,978917.114,342.701,-87.381,0,-87.381,83.3237966723045,-104.291380628603,-101.615972598454,-101.615972598454,10821.6693424956
