id	year	month	day	hour	min	sec	lat	lon	depth	mag
1	2013	01	13	17	33	29.4	29.066	102.451	18.4	1.4
2	2013	01	14	23	35	08.8	27.884	102.745	12.9	1.9
3	2013	01	15	03	12	08.9	28.977	102.231	11.6	0.5
4	2013	01	15	15	27	13.1	29.072	102.370	22.9	1.2
5	2013	01	15	21	10	08.8	28.106	102.248	08.2	0.3
6	2013	01	15	23	42	52.1	28.917	102.501	20.0	0.3
7	2013	01	16	08	12	06.6	28.069	102.264	12.0	0.8
8	2013	01	16	08	42	37.2	29.226	102.309	19.6	-0.1
9	2013	01	16	11	19	26.3	29.011	102.371	22.7	1.3
10	2013	01	16	12	31	46.8	28.549	102.121	02.7	1.4
11	2013	01	16	18	18	52.3	28.459	101.983	09.0	1.1
12	2013	01	17	01	41	37.4	28.955	102.486	10.9	-0.2
13	2013	01	17	03	32	01.0	29.250	102.251	07.3	0.9
14	2013	01	17	07	20	54.5	27.889	102.748	12.7	2.5
15	2013	01	17	15	00	19.1	28.440	102.307	05.8	0.5
16	2013	01	17	18	48	56.7	28.442	102.316	03.5	1.1
17	2013	01	17	22	03	36.8	29.073	102.358	23.2	0.6
18	2013	01	18	03	15	46.6	29.152	102.302	09.3	0.3
19	2013	01	18	12	09	56.6	29.330	102.350	20.8	1.7
20	2013	01	18	13	12	28.3	29.329	102.346	22.8	0.4
21	2013	01	18	23	19	45.4	29.333	102.334	21.0	0.6
22	2013	01	19	18	08	25.2	27.756	101.877	15.5	1.1
23	2013	01	20	12	49	56.2	29.231	102.282	16.3	0.3
24	2013	01	20	20	32	05.8	29.096	102.379	22.7	0.1
25	2013	01	22	04	25	22.2	29.092	102.443	18.3	-0.1
26	2013	01	22	05	56	17.1	28.721	102.677	10.8	0.4
27	2013	01	22	15	58	22.6	28.298	102.222	07.4	0.0
28	2013	01	22	16	42	41.9	29.036	102.438	21.7	0.7
29	2013	01	22	21	57	49.8	29.045	102.493	19.1	-0.1
30	2013	01	22	23	31	42.8	29.041	102.361	23.0	-0.1
31	2013	01	23	02	55	36.0	27.817	102.339	13.4	0.1
32	2013	01	23	04	48	10.6	29.222	102.332	23.5	-0.1
33	2013	01	23	13	50	13.8	28.222	101.813	10.1	0.9
34	2013	01	24	08	37	21.2	29.219	102.176	13.9	0.8
35	2013	01	24	13	54	00.1	28.981	102.259	12.4	0.4
36	2013	01	24	18	40	14.0	29.280	102.229	03.4	-0.2
37	2013	01	25	06	09	01.7	29.051	102.502	19.5	0.0
38	2013	01	25	12	31	14.1	29.171	102.336	28.5	1.8
39	2013	01	26	05	15	39.6	28.913	102.517	19.5	1.6
40	2013	01	26	17	03	00.2	29.168	102.132	07.6	0.3
41	2013	01	26	17	23	40.9	29.164	102.142	05.5	0.6
42	2013	01	26	21	20	05.3	28.037	102.308	14.6	-0.1
43	2013	01	27	01	54	12.9	29.154	102.147	04.1	0.1
44	2013	01	27	02	14	06.8	29.157	102.124	04.6	-0.3
45	2013	01	27	10	36	01.8	29.096	102.365	28.5	0.2
46	2013	01	27	12	29	11.8	29.555	102.219	06.2	1.8
47	2013	01	28	21	04	07.9	29.260	102.284	08.6	1.2
48	2013	01	29	01	11	12.8	29.013	102.428	21.5	1.2
49	2013	01	29	11	32	15.9	29.003	102.376	25.4	0.8
50	2013	01	29	17	40	08.9	29.101	102.407	28.2	0.8
51	2013	01	30	16	27	48.9	28.949	102.365	20.2	1.2
52	2013	01	31	00	17	46.4	29.196	102.362	14.6	-0.2
53	2013	01	31	10	22	35.5	27.897	102.741	10.9	1.8
54	2013	01	31	18	19	33.8	27.610	101.809	20.1	1.4
55	2013	02	01	03	14	26.3	29.029	102.447	21.4	1.1
56	2013	02	02	02	09	23.5	28.046	102.331	16.0	-0.4
57	2013	02	03	03	03	30.9	29.177	102.364	12.3	-0.1
58	2013	02	04	02	02	54.9	27.823	101.899	10.6	0.5
59	2013	02	04	05	38	39.1	29.194	102.095	06.6	-0.0
60	2013	02	04	06	23	47.0	29.191	102.117	07.6	0.7
61	2013	02	04	06	25	08.3	29.192	102.129	07.7	0.6
62	2013	02	04	23	33	45.7	27.881	102.753	16.0	2.4
63	2013	02	05	01	07	27.1	29.559	102.118	09.8	1.0
64	2013	02	05	17	16	20.6	27.886	102.369	07.4	0.9
65	2013	02	05	20	46	15.1	28.979	102.243	11.9	0.4
66	2013	02	06	18	21	46.0	29.103	102.494	21.6	0.4
67	2013	02	06	19	42	35.0	28.427	102.273	06.4	0.5
68	2013	02	07	03	27	23.6	28.997	102.410	23.0	0.2
69	2013	02	07	06	38	23.9	28.219	101.735	09.4	1.5
70	2013	02	07	14	03	49.9	28.299	102.278	14.5	0.1
71	2013	02	08	16	20	58.7	28.867	102.207	12.1	1.2
72	2013	02	09	01	33	03.7	27.902	102.328	12.6	2.2
73	2013	02	09	08	03	25.5	29.540	102.057	15.3	0.6
74	2013	02	09	09	01	15.8	29.519	102.034	08.1	2.1
75	2013	02	09	18	59	45.6	29.125	102.088	06.9	1.0
76	2013	02	10	08	03	10.8	27.812	102.100	22.3	0.9
77	2013	02	11	02	50	07.1	29.044	101.988	06.8	1.2
78	2013	02	11	07	47	43.4	29.082	102.245	14.9	1.6
79	2013	02	11	14	15	26.0	27.888	102.664	30.8	1.4
80	2013	02	12	10	17	22.5	29.152	102.388	22.3	-0.1
81	2013	02	12	15	26	08.3	27.908	102.364	06.2	1.3
82	2013	02	12	20	02	16.8	29.539	102.081	06.8	0.6
83	2013	02	13	01	50	11.5	29.135	102.758	04.2	0.5
84	2013	02	13	02	37	11.7	29.116	102.392	22.3	0.7
85	2013	02	13	05	41	13.2	29.241	102.232	09.8	0.8
86	2013	02	13	10	53	00.1	28.264	102.243	15.9	0.6
87	2013	02	13	16	44	10.0	29.085	102.230	15.1	0.3
88	2013	02	14	08	00	08.9	29.111	102.399	24.7	0.5
89	2013	02	14	10	24	12.4	27.906	102.368	06.0	0.9
90	2013	02	14	12	05	20.1	29.538	102.026	13.4	2.2
91	2013	02	15	01	14	49.0	29.540	102.055	11.3	1.5
92	2013	02	15	21	42	18.3	29.100	102.409	25.7	1.0
93	2013	02	15	22	15	55.5	28.993	102.362	23.9	0.0
94	2013	02	15	23	00	29.7	29.030	102.421	24.5	0.2
95	2013	02	16	04	29	43.5	29.116	102.344	31.3	0.6
96	2013	02	16	08	28	29.4	28.682	102.002	13.4	1.2
