id	year	month	day	hour	min	sec	lat	lon	depth	mag
16957820	1904	6	25	14	45	39	51.424	161.638	15	7.5
16957819	1904	6	25	21	0	38	52.763	160.277	30	7.7
16957832	1904	12	20	5	44	20	8.962	-84.042	10	7.29
16957835	1905	2	14	8	46	34	51.89	-176.702	35	7.59
16957836	1905	2	17	11	41	7	23.689	97.17	15	7.26
16957838	1905	2	19	4	34	55	-14.123	169.457	15	7.33
16957841	1905	3	4	15	59	53	-6.639	151.225	15	6.96
16957840	1905	3	4	23	17	22	-4.635	149.105	15	7.01
16957847	1905	3	22	3	38	44	51.145	-179.859	35	7.18
610548597	1905	4	3	16	1	54	41.706	21.369	15	5.44
16957848	1905	4	4	0	49	59	32.597	76.916	20	7.9
610326404	1905	4	4	10	24	41	39.605	20.418	15	5.7
610548599	1905	4	25	9	23	52	-16.431	168.676	15	6.56
610326285	1905	4	29	1	47	2	46.094	7.04	15	5.84
610548600	1905	4	30	16	10	4	41.538	21.26	15	5.82
16957851	1905	5	18	13	45	27	-2.282	149.949	15	7.15
610548603	1905	5	20	11	6	10	40.162	39.397	15	5.62
610548604	1905	5	31	18	23	32	18.895	120.203	15	6.8
610326286	1905	6	1	4	42	11	42.092	19.248	15	6.55
610326405	1905	6	1	21	47	1	42.144	19.205	15	5.59
16957852	1905	6	2	5	39	39	33.715	131.759	60	6.91
610548605	1905	6	9	12	31	13	-10.646	162.871	15	6.69
16957856	1905	6	30	17	7	35	-19.266	169.615	15	6.9
914292	1905	7	6	16	20	46	38.417	144.119	15	7.67
16957859	1905	7	9	9	40	39	49.709	98.483	15	7.95
16957861	1905	7	11	8	39	39	50.24	98.5	15	6.9
16957862	1905	7	14	22	2	3	49.77	99.124	15	6.86
610548609	1905	7	17	0	23	24	-23.039	171.862	35	6.72
16957865	1905	7	23	2	46	24	49.292	96.843	15	8.33
16957863	1905	7	23	20	35	4	49.35	96.215	10	6.19
610326408	1905	8	4	5	8	57	41.743	19.925	15	6.19
16957871	1905	9	8	1	43	2	38.636	15.784	15	7.19
610548612	1905	9	14	19	41	40	50.462	-179.492	15	6.71
16957872	1905	9	15	6	2	20	55.751	163.952	15	7.84
16957874	1905	9	29	11	52	8	-8.277	127.465	35	7.16
610326295	1905	10	8	7	27	37	42.461	23.143	15	6.12
610548613	1905	10	15	21	42	12	18.989	-77.755	15	6.33
16957878	1905	11	8	22	6	11	40.092	24.627	15	7.24
16957879	1905	12	4	12	20	7	37.216	38.83	15	5.56
16957880	1905	12	10	12	35	3	51.247	-176.193	35	6.71
610548621	1905	12	10	18	9	58	13.445	125.858	15	6.8
610326299	1906	1	2	4	26	27	45.386	16.521	15	5.79
610548622	1906	1	6	21	31	33	53.418	170.1	35	6.58
610326302	1906	1	9	23	4	45	49.256	18.421	15	5.63
16957883	1906	1	21	13	49	33	34.175	138.025	300	7.4
610548623	1906	1	24	6	42	57	50.088	-125.314	15	6.45
