Id,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,SecError,LatError,LonError,DepError,LocCode,MagSize,MagError,MagType,MagCode,Log
14373453,2010,3,8,2,32,34.1,38.8268,40.105,10.0,0.04,None,None,None,CSEM,4.2,0.1,ML,IDC,
600257778,2010,4,11,22,8,10.0,37.08,-3.47,616.0,0.0,None,None,0.0,NEIC,6.3,None,MW,NEIC,
14998998,2010,7,20,19,38,9.53,27.022,53.861,10.0,0.16,None,None,None,NEIC,4.4,0.2,ML,IDC,
15674101,2010,11,26,12,33,42.27,28.063,52.564,9.0,0.13,None,None,None,NEIC,5.5,None,MW,GCMT,
15813625,2010,12,20,18,41,59.0,28.44,59.1,15.0,0.0,None,None,0.0,NEIC,6.5,None,MW,GCMT,
601990163,2011,1,27,8,38,28.34,28.195,59.015,10.0,0.13,None,None,None,NEIC,5.0,0.2,ML,IDC,
16021308,2011,2,12,2,53,15.1,0.079,-17.018,10.0,0.15,None,None,None,NEIC,5.7,0.3,ML,IDC,
600575114,2011,4,1,13,29,10.6,35.5658,26.6019,80.0,0.08,None,None,None,CSEM,6.0,None,MW,NEIC,
17206003,2011,6,12,21,3,22.5,13.5525,41.6808,5.3,0.09,None,None,None,CSEM,4.2,0.2,ML,IDC,
17206144,2011,6,15,1,5,29.0,28.0203,57.7044,33.1,0.08,None,None,None,CSEM,5.1,0.2,ML,IDC,
17394270,2011,10,23,10,41,21.6,38.85,43.84,13.0,0.0,None,None,0.0,NEIC,4.7,0.1,ML,IDC,
600011114,2011,12,2,0,22,52.8,-34.002,58.078,15.0,0.12,None,None,None,NEIC,4.4,0.3,ML,IDC,
600212980,2012,1,19,12,35,51.0,36.28,58.89,12.0,0.0,None,None,0.0,NEIC,3.9,0.3,ML,IDC,
600319862,2012,2,4,21,50,50.57,13.046,57.561,10.0,0.19,None,None,None,NEIC,4.2,0.0,ML,IDC,
604084447,2012,8,11,12,23,17.0,38.38,47.13,11.0,0.0,None,None,0.0,NEIC,4.5,0.2,ML,IDC,
604846898,2012,8,11,12,34,35.0,38.62,47.14,11.0,0.0,None,None,0.0,NEIC,4.9,0.1,ML,IDC,
602216240,2013,1,8,14,16,8.98,39.656,25.54,12.8,0.36,None,None,2.3,NEIC,4.5,0.2,ML,IDC,
607304565,2013,4,9,11,52,49.92,28.428,51.593,12.0,0.08,None,None,None,NEIC,4.5,0.1,ML,IDC,
607304923,2013,5,11,2,8,8.5,26.56,57.77,15.0,None,None,None,None,NEIC,6.2,None,MS,NEIC,
603337743,2013,8,17,16,32,31.27,-34.8942,54.1034,10.0,1.62,None,None,None,NEIC,5.8,0.3,ML,IDC,
609096383,2013,10,12,13,11,53.35,35.5142,23.2523,40.0,2.46,None,None,None,NEIC,4.7,0.2,ML,IDC,
