date,value,val2,val3
2008/1/2,-34.5,-17.25,-11.5
2008/1/3,-44.8,-44.8,-14.93333333
2008/1/4,-46,727.47,-15.33333333
2008/1/5,-42.5,-42.5,-14.16666667
2008/1/6,-9.2,-9.2,-3.066666667
2008/1/7,11.8,11.8,3.933333333
2008/1/8,45.9,45.9,45.9
2008/1/9,74.2,74.2,74.2
2008/1/10,123.3,123.3,123.3
2008/1/11,148.7,13152.66667,148.7
2008/1/12,142.4,13153,142.4
2008/1/13,152.8,13153.33333,152.8
2008/1/14,170.7,13153.66667,170.7
2008/1/15,188.1,13154,188.1
2008/1/16,213.7,13154.33333,213.7
2008/1/17,260.7,260.7,260.7
2008/1/18,307.7,307.7,307.7
2008/1/19,356.6,356.6,356.6
2008/1/20,398.5,398.5,398.5
2008/1/21,443.7,443.7,443.7
2008/1/22,477.4,477.4,477.4
2008/1/23,509,509,509
2008/1/24,538.4,538.4,538.4
2008/1/25,583.4,583.4,583.4
2008/1/26,615.9,615.9,615.9
2008/1/27,665.8,665.8,665.8
2008/1/28,719.8,719.8,719.8
2008/1/29,757.8,757.8,757.8
2008/1/30,780.7,780.7,780.7
2008/1/31,834.6,834.6,834.6
2008/2/1,889.5,889.5,889.5
2008/2/2,923.8,923.8,923.8
2008/2/3,955.1,955.1,955.1
2008/2/4,998,998,998
2008/2/5,1025.3,1025.3,1025.3
2008/2/6,1062.8,1062.8,1062.8
2008/2/7,1099.1,1099.1,1099.1
2008/2/8,1116.9,1116.9,1116.9
2008/2/9,1151.3,1151.3,1151.3
2008/2/10,1184.5,1184.5,1184.5
2008/2/11,1211.9,1211.9,1211.9
2008/2/12,1243.7,509,1243.7
2008/2/13,1303.4,538.4,1303.4
2008/2/14,1338.3,583.4,1338.3
2008/2/15,1381.9,615.9,1381.9
2008/2/16,1417.3,665.8,1417.3
2008/2/17,1452.4,719.8,1452.4
2008/2/18,1477.2,757.8,1477.2
2008/2/19,1536.8,780.7,1536.8
2008/2/20,1587,834.6,1587
2008/2/21,1624.3,889.5,1624.3
2008/2/22,1652.6,1652.6,1652.6
2008/2/23,1690.7,1690.7,1690.7
2008/2/24,1727.9,1727.9,1727.9
2008/2/25,1741.2,1741.2,1741.2
2008/2/26,1702.3,1702.3,1702.3
2008/2/27,1669.4,1669.4,1669.4
2008/2/28,1671.7,1671.7,1671.7
2008/2/29,1683,1683,1683
2008/3/1,1683.3,1683.3,1683.3
2008/3/2,1703.8,1703.8,1703.8
2008/3/3,1738.4,1738.4,1738.4
2008/3/4,1773.1,1773.1,509
2008/3/5,1806.5,1806.5,538.4
2008/3/6,1836,1836,583.4
2008/3/7,1853.6,1853.6,615.9
2008/3/8,1903.2,1903.2,665.8
2008/3/9,1943.4,1943.4,719.8
2008/3/10,1997.8,1997.8,757.8
2008/3/11,2051.1,2051.1,780.7
2008/3/12,2104.1,2104.1,834.6
2008/3/13,2137.2,2137.2,889.5
2008/3/14,2186.7,2186.7,2186.7
2008/3/15,2242.1,2242.1,2242.1
2008/3/16,2309.2,2309.2,2309.2
2008/3/17,2361.2,2361.2,2361.2
2008/3/18,2389.4,2389.4,2389.4
2008/3/19,2411.7,2411.7,2411.7
2008/3/20,2455.2,2455.2,2455.2
2008/3/21,2477.7,2477.7,2477.7
2008/3/22,2477,2477,2477
2008/3/23,2442.1,509,2442.1
2008/3/24,2467.9,538.4,2467.9
2008/3/25,2515.3,583.4,2515.3
2008/3/26,2797.2,615.9,2797.2
2008/3/27,2963.7,665.8,2963.7
2008/3/28,3079.5,719.8,3079.5
