年;月;日;时;分;秒;纬;经;mw
1965;1;15;15;25;54;35.08;111.6;5.39
1965;3;30;22;31;14;31.76;78.1;4.63
1965;4;11;14;27;40;29.37;104.85;5.6
1965;4;28;20;25;38;34.6;110.7;5.06
1968;8;24;14;26;1;30.38;94.66;5.06
1970;1;23;5;53;38;18.44;109.5;5.6
1970;4;7;11;9;52;30.8;118.0;4.52
1970;5;15;17;28;36;39.6;90.0;5.49
1970;10;6;14;34;9;31.6;115.6;4.95
1971;7;26;2;39;27;39.8;77.34;5.28
1972;6;18;9;18;42;39.0;73.76;4.74
1973;2;10;6;51;21;30.51;80.34;4.84
1973;3;26;3;20;54;32.2;95.85;4.74
1973;4;4;5;58;58;40.45;84.6;4.63
1973;6;5;5;30;17;43.79;84.69;4.41
1973;6;21;18;28;57;31.38;99.94;5.06
1973;7;17;0;31;18;39.58;73.51;4.63
1973;9;28;9;57;2;37.25;106.46;4.41
1973;12;16;4;12;9;31.61;100.24;4.95
1974;4;9;4;36;58;37.32;78.66;4.63
1974;7;4;20;1;41;44.63;93.9;4.84
1974;8;11;1;35;39;39.47;74.17;4.63
1974;8;11;2;7;1;39.63;73.93;4.74
1974;8;11;2;44;52;39.4;73.65;4.19
1974;8;11;2;51;51;39.41;73.3;4.41
1974;8;11;3;27;55;39.38;73.7;4.41
1974;8;11;7;14;25;39.5;73.88;4.41
1974;8;11;21;36;13;40.18;75.72;4.84
1974;8;12;4;55;38;39.48;76.65;4.63
1974;8;12;22;2;30;39.16;74.01;4.95
1974;8;18;2;58;56;39.29;73.68;4.3
1974;10;10;21;54;26;39.87;73.25;4.52
1974;11;6;16;56;48;38.61;73.32;4.63
1974;11;8;6;49;8;39.54;74.2;4.41
1974;12;16;7;45;30;44.28;93.98;4.52
1974;12;22;4;46;19;41.7;123.3;5.28
1975;1;19;16;16;7;32.26;78.51;4.95
1975;1;20;4;40;31;32.25;78.73;4.95
1975;2;4;2;35;34;41.52;122.67;4.63
1975;2;11;20;44;37;38.81;74.68;4.52
1975;2;18;10;51;50;41.62;122.49;4.52
1975;4;1;3;7;6;40.12;77.85;4.84
1975;5;20;4;18;37;38.84;74.75;5.06
1975;5;29;2;19;26;35.53;80.76;4.95
1976;6;14;11;10;10;32.99;87.28;4.84
1977;2;16;23;56;48;38.95;89.34;5.06
1977;7;5;14;45;45;31.9;95.64;4.95
1978;8;13;22;27;60;28.07;85.24;4.74
1979;7;8;19;42;22;25.2;101.85;4.41
1980;1;9;21;41;38;35.41;79.28;4.77
1980;4;13;15;18;49;38.33;74.56;4.41
1980;4;22;16;19;39;39.91;77.32;4.84
1980;5;30;12;21;38;39.8;118.93;3.98
1980;6;29;20;4;34;41.03;76.83;4.41
1980;9;1;14;4;53;38.2;75.91;4.74
1980;12;3;12;38;57;38.78;76.01;4.52
1980;12;11;15;28;39;27.32;100.72;4.41
1981;3;14;18;13;36;40.15;118.03;4.41
1981;3;20;22;9;51;31.25;104.87;4.52
1981;4;30;16;42;10;28.59;104.88;4.63
1981;5;6;10;12;16;31.44;103.24;4.95
1981;5;8;21;58;40;38.98;74.24;4.59
1981;6;26;21;39;49;38.28;73.96;4.41
1981;12;2;12;46;54;30.67;79.63;4.09
1982;1;23;19;17;3;31.95;82.17;5.06
1982;1;24;18;12;48;31.53;82.14;4.74
1982;7;13;13;12;31;31.17;101.18;4.63
1982;9;2;6;37;33;33.47;82.6;4.74
1982;10;24;2;44;12;37.9;106.08;4.63
1982;10;27;21;34;22;23.81;106.16;3.98
1982;12;2;3;4;5;26.08;102.4;4.3
1982;12;6;11;52;14;29.84;80.65;4.41
1982;12;8;13;34;49;25.86;100.01;5.17
1982;12;10;12;9;19;28.99;95.15;4.84
1983;1;6;20;29;16;31.48;82.18;5.17
1983;2;13;22;53;16;40.07;75.23;4.52
1983;3;14;1;22;28;30.66;84.06;4.41
1983;4;30;3;56;37;34.55;99.56;4.09
1983;5;9;20;45;30;41.14;121.5;4.74
1983;10;21;22;6;1;37.91;94.32;4.52
1984;2;6;8;12;4;39.95;77.94;5.17
1984;3;10;17;41;27;33.49;104.99;4.41
1984;5;21;16;25;49;32.53;121.5;5.17
1984;6;30;17;0;42;40.15;78.45;4.63
1984;7;10;12;11;40;29.12;106.3;4.19
1984;9;3;20;42;35;39.15;73.46;4.09
1984;10;4;20;53;31;44.96;81.36;4.3
1985;1;31;6;5;52;23.9;101.3;4.32
1985;2;3;7;40;56;42.01;84.63;4.56
1985;6;20;15;6;17;40.02;123.0;4.41
1985;8;21;12;28;29;39.89;74.36;4.67
1985;9;4;7;51;37;39.58;75.3;4.41
1986;1;6;11;23;34;27.79;99.97;4.63
1986;3;20;10;0;49;42.07;86.89;4.95
1986;3;22;1;48;10;26.16;100.04;4.21
1986;6;30;22;47;11;41.34;77.43;4.21
1986;7;2;3;56;56;38.3;120.44;4.44
1986;7;8;9;36;45;36.4;105.52;4.52
1986;7;12;19;29;42;39.45;74.36;4.09
1986;11;10;8;17;57;24.47;98.79;3.98
1986;12;30;8;9;1;36.32;106.0;3.51
1987;1;27;0;38;47;41.31;79.87;4.41
1987;6;7;4;26;21;39.36;118.29;4.09
