time;origin_data;despiked;flag
2008-01-01;-18.8;-18.8;0
2008-01-02;-34.5;-34.5;0
2008-01-03;-44.8;-44.8;0
2008-01-04;-46.0;-46.0;0
2008-01-05;-42.5;-42.5;0
2008-01-06;-9.2;-9.200000000000003;0
2008-01-07;11.8;11.799999999999997;0
2008-01-08;45.9;45.89999999999999;0
2008-01-09;74.2;74.19999999999999;0
2008-01-10;123.3;123.29999999999998;0
2008-01-11;148.7;148.7;0
2008-01-12;142.4;142.4;0
2008-01-13;152.8;152.8;0
2008-01-14;170.7;170.7;0
2008-01-15;188.1;188.1;0
2008-01-16;213.7;213.7;0
2008-01-17;260.7;260.7;0
2008-01-18;307.7;307.7;0
2008-01-19;356.6;356.6;0
2008-01-20;398.5;398.5;0
2008-01-21;443.7;443.7;0
2008-01-22;477.4;477.4;0
2008-01-23;509.0;509.0;0
2008-01-24;538.4;538.4;0
2008-01-25;583.4;583.4;0
2008-01-26;615.9;615.9;0
2008-01-27;665.8;665.8;0
2008-01-28;719.8;719.8;0
2008-01-29;757.8;757.8;0
2008-01-30;780.7;780.7;0
2008-01-31;834.6;834.6;0
2008-02-01;889.5;889.5;0
2008-02-02;923.8;923.8;0
2008-02-03;955.1;955.1;0
2008-02-04;998.0;998.0;0
2008-02-05;1025.3;1025.3;0
2008-02-06;1062.8;1062.8;0
2008-02-07;1099.1;1099.1;0
2008-02-08;1116.9;1116.9;0
2008-02-09;1151.3;1151.3;0
2008-02-10;1184.5;1184.5;0
2008-02-11;1211.9;1211.9;0
2008-02-12;1243.7;1243.7;0
2008-02-13;1303.4;1303.4;0
2008-02-14;1338.3;1338.3;0
2008-02-15;1381.9;1381.9;0
2008-02-16;1417.3;1417.3;0
2008-02-17;1452.4;1452.4;0
2008-02-18;1477.2;1477.2;0
2008-02-19;1536.8;1536.8;0
2008-02-20;1587.0;1587.0;0
2008-02-21;1624.3;1624.3;0
2008-02-22;1652.6;1652.6;0
2008-02-23;1690.7;1690.7;0
2008-02-24;1727.9;1727.9;0
2008-02-25;1741.2;1741.2;0
2008-02-26;1702.3;1702.3;0
2008-02-27;1669.4;1669.4;0
2008-02-28;1671.7;1671.7;0
2008-02-29;1683.0;1683.0;0
2008-03-01;1683.3;1683.3;0
2008-03-02;1703.8;1703.8;0
2008-03-03;1738.4;1738.4;0
2008-03-04;1773.1;1773.1;0
2008-03-05;1806.5;1806.5;0
2008-03-06;1836.0;1836.0;0
2008-03-07;1853.6;1853.6;0
2008-03-08;1903.2;1903.2;0
2008-03-09;1943.4;1943.4;0
2008-03-10;1997.8;1997.8;0
2008-03-11;2051.1;2051.1;0
2008-03-12;2104.1;2104.1;0
2008-03-13;2137.2;2137.2;0
2008-03-14;2186.7;2186.7;0
2008-03-15;2242.1;2242.1;0
2008-03-16;2309.2;2309.2;0
2008-03-17;2361.2;2361.2;0
2008-03-18;2389.4;2389.4;0
2008-03-19;2411.7;2411.7;0
2008-03-20;2455.2;2455.2;0
2008-03-21;2477.7;2477.7;0
2008-03-22;2477.0;2477.0;0
2008-03-23;2442.1;2442.1;0
2008-03-24;2467.9;2467.9;0
2008-03-25;2515.3;2515.3;0
2008-03-26;2797.2;2559.0600000000004;2
2008-03-27;2963.7;2599.1800000000003;2
2008-03-28;3079.5;2635.6600000000003;2
2008-03-29;3143.5;2668.5;1
2008-03-30;3172.7;2697.7;0
2008-03-31;3217.0;2742.0;0
2008-04-01;3280.7;2805.7;0
2008-04-02;3345.9;2870.9;0
2008-04-03;3420.8;2945.8;0
2008-04-04;3476.0;3001.0;0
2008-04-05;3570.4;3095.4;0
2008-04-06;3632.2;3157.2;0
2008-04-07;3714.7;3239.7;0
2008-04-08;3775.4;3300.4;0
2008-04-09;3793.6;3318.6;0
2008-04-10;3820.4;3345.4;0
2008-04-11;3839.1;3364.1;0
2008-04-12;3849.2;3374.2;0
2008-04-13;3868.5;3393.5;0
2008-04-14;3896.4;3421.4;0
2008-04-15;3921.5;3446.5;0
2008-04-16;3951.9;3476.9;0
2008-04-17;3992.8;3517.8;0
2008-05-14;4328.4;3562.066666666667;2
2008-05-15;4403.4;3609.7000000000003;1
2008-05-16;4454.4;3660.7000000000003;0
2008-05-17;4531.2;3737.5000000000005;0
2008-05-18;4589.5;3795.8000000000006;0
2008-05-19;4646.2;3852.5000000000005;0
2008-05-20;4742.7;3949.0000000000005;0
2008-05-21;4820.8;4027.100000000001;0
2008-05-22;4859.0;4065.3000000000006;0
2008-05-23;4910.1;4116.4000000000015;0
2008-05-24;4983.9;4190.200000000001;0
2008-05-25;5065.3;4271.600000000001;0
2008-05-26;5154.5;4360.800000000001;0
2008-05-27;5210.9;4417.200000000001;0
2008-05-28;5201.9;4408.200000000001;0
2008-05-29;5182.0;4388.300000000001;0
2008-05-30;5134.7;4341.000000000001;0
2008-05-31;5129.1;4335.4000000000015;0
2008-06-01;5128.8;4335.100000000001;0
2008-06-02;5144.7;4351.000000000001;0
2008-06-03;5182.8;4389.100000000001;0
2008-06-04;5199.7;4406.000000000001;0
2008-06-05;5219.5;4425.800000000001;0
2008-06-06;5252.5;4458.800000000001;0
2008-06-07;5257.9;4464.200000000001;0
2008-06-08;5288.2;4494.500000000001;0
2008-06-09;5243.8;4450.100000000001;0
2008-06-10;5260.2;4466.500000000001;0
2008-06-11;5239.3;4445.600000000001;0
2008-06-12;5245.8;4452.100000000001;0
2008-06-13;5283.6;4489.9000000000015;0
2008-06-14;5273.8;4480.100000000001;0
2008-06-15;5257.8;4464.100000000001;0
2008-06-16;5261.4;4467.700000000001;0
2008-06-17;5270.5;4476.800000000001;0
2008-06-18;5285.5;4491.800000000001;0
2008-06-19;5295.8;4502.100000000001;0
2008-06-20;5327.8;4534.100000000001;0
2008-06-21;5343.8;4550.100000000001;0
2008-06-22;5119.7;4572.300000000001;2
2008-06-23;4948.6;4600.700000000001;2
2008-06-24;4914.7;4635.300000000001;1
2008-06-25;4955.5;4676.100000000001;0
2008-06-26;4951.0;4671.600000000001;0
2008-06-27;4971.8;4692.4000000000015;0
