time;origin_data;trans_data;residual
2008-01-01;-18.8;-1344.0629367171794;1325.2629367171794
2008-01-02;-34.5;-1341.3335553001684;1306.8335553001684
2008-01-03;-44.8;-1338.6041738831577;1293.8041738831578
2008-01-04;-46.0;-1335.874792466147;1289.874792466147
2008-01-05;-42.5;-1333.145411049136;1290.645411049136
2008-01-06;-9.2;-1330.4160296321254;1321.2160296321254
2008-01-07;11.8;-1327.6866482151145;1339.4866482151144
2008-01-08;45.9;-1324.9572667981038;1370.8572667981039
2008-01-09;74.2;-1322.227885381093;1396.4278853810931
2008-01-10;123.3;-1319.4985039640821;1442.798503964082
2008-01-11;148.7;-1316.7691225470714;1465.4691225470715
2008-01-12;142.4;-1314.0397411300607;1456.4397411300608
2008-01-13;152.8;-1311.3103597130498;1464.1103597130498
2008-01-14;170.7;-1308.5809782960391;1479.2809782960392
2008-01-15;188.1;-1305.8515968790282;1493.951596879028
2008-01-16;213.7;-1303.1222154620175;1516.8222154620175
2008-01-17;260.7;-1300.3928340450068;1561.0928340450068
2008-01-18;307.7;-1297.6634526279959;1605.363452627996
2008-01-19;356.6;-1294.9340712109852;1651.534071210985
2008-01-20;398.5;-1292.2046897939745;1690.7046897939745
2008-01-21;443.7;-1289.4753083769635;1733.1753083769636
2008-01-22;477.4;-1286.7459269599526;1764.1459269599527
2008-01-23;509.0;-1284.0165455429421;1793.0165455429421
2008-01-24;538.4;-1281.2871641259312;1819.6871641259313
2008-01-25;583.4;-1278.5577827089205;1861.9577827089206
2008-01-26;615.9;-1275.8284012919094;1891.7284012919094
2008-01-27;665.8;-1273.0990198748989;1938.8990198748988
2008-01-28;719.8;-1270.3696384578882;1990.1696384578881
2008-01-29;757.8;-1267.6402570408773;2025.4402570408772
2008-01-30;780.7;-1264.9108756238666;2045.6108756238666
2008-01-31;834.6;-1262.1814942068559;2096.7814942068558
2008-02-01;889.5;-1259.4521127898452;2148.952112789845
2008-02-02;923.8;-1256.7227313728342;2180.522731372834
2008-02-03;955.1;-1253.9933499558233;2209.093349955823
2008-02-04;998.0;-1251.2639685388126;2249.2639685388126
2008-02-05;1025.3;-1248.5345871218017;2273.8345871218016
2008-02-06;1062.8;-1245.805205704791;2308.605205704791
2008-02-07;1099.1;-1243.0758242877805;2342.1758242877804
2008-02-08;1116.9;-1240.3464428707698;2357.24644287077
2008-02-09;1151.3;-1237.6170614537589;2388.917061453759
2008-02-10;1184.5;-1234.887680036748;2419.387680036748
2008-02-11;1211.9;-1232.1582986197373;2444.0582986197373
2008-02-12;1243.7;-1229.4289172027263;2473.1289172027264
2008-02-13;1303.4;-1226.6995357857154;2530.0995357857155
2008-02-14;1338.3;-1223.9701543687045;2562.2701543687044
2008-02-15;1381.9;-1221.240772951694;2603.140772951694
2008-02-16;1417.3;-1218.511391534683;2635.811391534683
2008-02-17;1452.4;-1215.7820101176726;2668.1820101176727
2008-02-18;1477.2;-1213.0526287006617;2690.2526287006617
2008-02-19;1536.8;-1210.323247283651;2747.123247283651
2008-02-20;1587.0;-1207.59386586664;2794.59386586664
2008-02-21;1624.3;-1204.8644844496296;2829.1644844496295
2008-02-22;1652.6;-1202.1351030326186;2854.7351030326186
2008-02-23;1690.7;-1199.4057216156077;2890.1057216156078
2008-02-24;1727.9;-1196.6763401985968;2924.576340198597
2008-02-25;1741.2;-1193.9469587815863;2935.1469587815864
2008-02-26;1702.3;-1191.2175773645752;2893.517577364575
2008-02-27;1669.4;-1188.4881959475647;2857.888195947565
2008-02-28;1671.7;-1185.7588145305538;2857.458814530554
2008-02-29;1683.0;-1183.0294331135428;2866.029433113543
2008-03-01;1683.3;-1180.3000516965324;2863.6000516965323
2008-03-02;1703.8;-1177.5706702795217;2881.3706702795216
2008-03-03;1738.4;-1174.8412888625107;2913.241288862511
2008-03-04;1773.1;-1172.1119074454996;2945.2119074454995
2008-03-05;1806.5;-1169.3825260284893;2975.8825260284893
2008-03-06;1836.0;-1166.6531446114786;3002.6531446114786
2008-03-07;1853.6;-1163.9237631944675;3017.5237631944674
2008-03-08;1903.2;-1161.194381777457;3064.394381777457
2008-03-09;1943.4;-1158.465000360446;3101.865000360446
2008-03-10;1997.8;-1155.7356189434352;3153.535618943435
2008-03-11;2051.1;-1153.0062375264247;3204.1062375264246
2008-03-12;2104.1;-1150.2768561094135;3254.3768561094134
2008-03-13;2137.2;-1147.5474746924028;3284.7474746924026
2008-03-14;2186.7;-1144.8180932753921;3331.518093275392
2008-03-15;2242.1;-1142.088711858381;3384.188711858381
2008-03-16;2309.2;-1139.3593304413707;3448.5593304413705
2008-03-17;2361.2;-1136.62994902436;3497.82994902436
2008-03-18;2389.4;-1133.9005676073489;3523.300567607349
2008-03-19;2411.7;-1131.1711861903382;3542.871186190338
2008-03-20;2455.2;-1128.441804773327;3583.641804773327
2008-03-21;2477.7;-1125.7124233563163;3603.412423356316
2008-03-22;2477.0;-1122.9830419393056;3599.9830419393056
2008-03-23;2442.1;-1120.253660522295;3562.353660522295
2008-03-24;2467.9;-1117.5242791052842;3585.4242791052843
2008-03-25;2515.3;-1114.7948976882735;3630.0948976882737
2008-03-26;2797.2;-1112.0655162712628;3909.2655162712626
2008-03-27;2963.7;-1109.3361348542521;4073.036134854252
2008-03-28;3079.5;-1106.6067534372414;4186.106753437241
2008-03-29;3143.5;-1103.8773720202298;4247.37737202023
2008-03-30;3172.7;-1101.1479906032191;4273.847990603219
2008-03-31;3217.0;-1098.4186091862084;4315.418609186208
2008-04-01;3280.7;-1095.6892277691977;4376.3892277691975
2008-04-02;3345.9;-1092.9598463521875;4438.859846352188
2008-04-03;3420.8;-1090.2304649351763;4511.0304649351765
2008-04-04;3476.0;-1087.5010835181656;4563.501083518166
2008-04-05;3570.4;-1084.7717021011554;4655.1717021011555
2008-04-06;3632.2;-1082.0423206841442;4714.242320684144
2008-04-07;3714.7;-1079.3129392671335;4794.012939267133
2008-04-08;3775.4;-1076.5835578501224;4851.983557850122
2008-04-09;3793.6;-1073.8541764331117;4867.454176433112
2008-04-10;3820.4;-1071.124795016101;4891.524795016101
2008-04-11;3839.1;-1068.3954135990903;4907.49541359909
2008-04-12;3849.2;-1065.666032182079;4914.866032182079
2008-04-13;3868.5;-1062.9366507650684;4931.436650765068
2008-04-14;3896.4;-1060.2072693480582;4956.607269348058
2008-04-15;3921.5;-1057.477887931047;4978.977887931047
2008-04-16;3951.9;-1054.7485065140368;5006.648506514037
2008-04-17;3992.8;-1052.0191250970256;5044.819125097026
2008-05-14;4328.4;-1049.289743680015;5377.6897436800145
2008-05-15;4403.4;-1046.5603622630042;5449.960362263004
2008-05-16;4454.4;-1043.8309808459926;5498.230980845992
2008-05-17;4531.2;-1041.101599428982;5572.301599428982
2008-05-18;4589.5;-1038.3722180119712;5627.872218011971
2008-05-19;4646.2;-1035.6428365949605;5681.84283659496
2008-05-20;4742.7;-1032.9134551779498;5775.61345517795
2008-05-21;4820.8;-1030.184073760939;5850.984073760939
2008-05-22;4859.0;-1027.4546923439284;5886.454692343928
2008-05-23;4910.1;-1024.7253109269177;5934.825310926918
2008-05-24;4983.9;-1021.995929509907;6005.895929509907
2008-05-25;5065.3;-1019.2665480928963;6084.5665480928965
2008-05-26;5154.5;-1016.5371666758856;6171.037166675886
2008-05-27;5210.9;-1013.807785258874;6224.707785258874
2008-05-28;5201.9;-1011.0784038418642;6212.978403841864
2008-05-29;5182.0;-1008.3490224248526;6190.349022424853
2008-05-30;5134.7;-1005.6196410078419;6140.319641007842
2008-05-31;5129.1;-1002.8902595908312;6131.990259590832
2008-06-01;5128.8;-1000.1608781738205;6128.960878173821
2008-06-02;5144.7;-997.4314967568098;6142.13149675681
2008-06-03;5182.8;-994.7021153397991;6177.502115339799
2008-06-04;5199.7;-991.9727339227884;6191.672733922788
2008-06-05;5219.5;-989.2433525057777;6208.743352505778
2008-06-06;5252.5;-986.513971088767;6239.013971088767
2008-06-07;5257.9;-983.7845896717554;6241.684589671755
2008-06-08;5288.2;-981.0552082547447;6269.2552082547445
2008-06-09;5243.8;-978.325826837734;6222.125826837734
2008-06-10;5260.2;-975.5964454207233;6235.796445420723
2008-06-11;5239.3;-972.8670640037126;6212.167064003713
2008-06-12;5245.8;-970.1376825867019;6215.937682586702
2008-06-13;5283.6;-967.4083011696912;6251.008301169692
2008-06-14;5273.8;-964.6789197526805;6238.478919752681
