Id,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,SecError,LatError,LonError,DepError,LocCode,MagSize,MagError,MagType,MagCode,Log
14225086,2010,1,1,5,37,28.81,34.2752,25.3466,40.5,0.99,None,None,9.27,ISC,3.6,0.6,MS,IDC,
14287928,2010,1,1,9,18,17.77,38.1911,20.7556,15.8,0.72,None,None,4.83,ISC,3.4,0.2,ML,IDC,
14245329,2010,1,1,23,44,21.49,37.0001,20.0654,41.7,1.18,None,None,16.6,ISC,3.6,0.2,ML,IDC,
17145592,2010,1,2,3,13,16.76,-4.0869,34.8402,22.0,0.91,None,None,None,ISC,3.7,0.2,MS,IDC,
14547989,2010,1,2,22,13,10.1,36.8324,59.5511,10.0,0.55,None,None,None,ISC,2.7,0.0,MS,IDC,
16245882,2010,1,3,5,9,46.85,34.3378,25.3275,44.1,0.91,None,None,10.6,ISC,4.1,0.1,ML,IDC,
16110980,2010,1,3,10,57,24.23,34.4843,23.7462,33.0,1.11,None,None,None,ISC,3.3,0.4,ML,IDC,
14215954,2010,1,4,15,47,11.95,35.4569,-0.0311,9.6,1.34,None,None,9.58,ISC,3.5,0.3,ML,IDC,
14287951,2010,1,4,18,35,54.87,36.7071,21.2907,26.7,0.59,None,None,3.95,ISC,3.3,0.2,ML,IDC,
14216064,2010,1,5,2,47,16.25,36.1489,25.4242,116.6,0.47,None,None,4.02,ISC,2.8,0.2,MS,IDC,
17145811,2010,1,5,7,10,18.83,-7.0701,30.4823,10.0,0.98,None,None,None,ISC,4.3,0.3,ML,IDC,
16111216,2010,1,5,11,23,22.2,34.0252,14.8555,10.0,1.06,None,None,None,ISC,3.5,0.2,ML,IDC,
17499086,2010,1,5,17,7,5.53,34.7523,24.0983,56.5,1.02,None,None,8.09,ISC,3.2,0.2,MS,IDC,
14218075,2010,1,5,19,47,56.45,37.8273,14.5636,11.1,0.79,None,None,5.74,ISC,3.0,0.2,MS,IDC,
16111288,2010,1,6,5,41,2.44,-36.3409,53.3932,7.0,0.44,None,None,None,ISC,3.9,0.1,MS,ISC,
14218738,2010,1,6,14,17,48.11,27.5154,55.1616,26.5,0.57,None,None,4.0,ISC,4.1,0.2,MS,ISC,
17145934,2010,1,7,3,17,6.0,30.6632,50.2365,25.0,0.74,None,None,None,ISC,3.4,0.3,ML,IDC,
14753662,2010,1,7,4,8,39.9,34.9519,26.6774,7.7,1.17,None,None,9.19,ISC,2.8,0.2,MS,IDC,
14619538,2010,1,7,14,35,33.91,36.6181,30.0314,1.0,1.11,None,None,8.68,ISC,2.9,0.2,MS,IDC,
