eventID,Agency,year,month,day,hour,minute,second,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,moment,scaling,source,mpp,mpr,mrr,mrt,mtp,mtt
16957713,ISC-GEM,1900,7,29,6,59,0,165.0000,-10.0000,       ,       ,       ,0.00,25.00,7.58,0.66,       ,    ,          ,       ,       ,       ,       ,       ,       
16957718,ISC-GEM,1900,10,9,12,28,0,-142.0000,60.0000,       ,       ,       ,0.00,3.80,7.69,0.68,       ,    ,          ,       ,       ,       ,       ,       ,       
16957719,ISC-GEM,1900,10,29,9,11,0,-66.0000,11.0000,       ,       ,       ,0.00,2.80,7.69,0.68,       ,    ,          ,       ,       ,       ,       ,       ,       
16957737,ISC-GEM,1901,8,9,13,1,0,170.0000,-22.0000,       ,       ,       ,0.00,11.10,7.92,0.71,       ,    ,          ,       ,       ,       ,       ,       ,       
16957736,ISC-GEM,1901,8,9,18,33,0,144.0000,40.0000,       ,       ,       ,0.00,6.10,7.47,0.65,       ,    ,          ,       ,       ,       ,       ,       ,       
16957763,ISC-GEM,1902,4,19,2,23,0,-91.0000,14.0000,       ,       ,       ,0.00,23.50,7.47,0.65,       ,    ,          ,       ,       ,       ,       ,       ,       
16957769,ISC-GEM,1902,8,22,3,0,0,77.0000,40.0000,       ,       ,       ,0.00,13.60,7.69,0.68,       ,    ,          ,       ,       ,       ,       ,       ,       
16957777,ISC-GEM,1902,9,22,1,46,0,146.0000,18.0000,       ,       ,       ,0.00,43.60,7.47,0.65,       ,    ,          ,       ,       ,       ,       ,       ,       
16957778,ISC-GEM,1902,9,23,20,18,0,-93.0000,16.0000,       ,       ,       ,0.00,20.20,7.81,0.69,       ,    ,          ,       ,       ,       ,       ,       ,       
16957788,ISC-GEM,1903,1,14,1,47,0,-98.0000,15.0000,       ,       ,       ,0.00,25.00,7.69,0.68,       ,    ,          ,       ,       ,       ,       ,       ,       
16957819,ISC-GEM,1904,6,25,21,0,37.58,160.4450,52.8640,35.30,24.10,59.00,30.00,10.30,7.70,0.40,5.10,20, bibliog  ,       ,       ,       ,       ,       ,       
16957848,ISC-GEM,1905,4,4,0,49,59.48,76.7880,32.6360,20.60,9.80,32.70,20.00,25.00,7.90,0.40,8.50,20, bibliog  ,       ,       ,       ,       ,       ,       
16957859,ISC-GEM,1905,7,9,9,40,39.79,98.4830,49.7090,19.90,11.20,28.40,15.00,25.00,8.30,0.40,3.00,21, bibliog  ,       ,       ,       ,       ,       ,       
16957865,ISC-GEM,1905,7,23,2,46,22.92,96.6100,49.3690,26.00,15.80,26.10,15.00,25.00,8.30,0.40,3.00,21, bibliog  ,       ,       ,       ,       ,       ,       
16957871,ISC-GEM,1905,9,8,1,43,2.24,15.7840,38.6360,16.40,12.50,142.20,15.00,6.70,7.16,0.70,       ,    ,          ,       ,       ,       ,       ,       ,       
16957879,ISC-GEM,1905,12,4,12,20,7.96,38.8300,37.2160,67.60,11.30,178.40,15.00,5.60,5.56,0.63,       ,    ,          ,       ,       ,       ,       ,       ,       
16957883,ISC-GEM,1906,1,21,13,49,33.81,138.1010,34.1670,14.30,11.40,145.80,300.00,25.00,7.40,0.30,1.50,20, bibliog  ,       ,       ,       ,       ,       ,       
16957905,ISC-GEM,1906,4,18,13,12,27.11,-122.4030,38.0560,35.60,14.80,1.50,10.00,5.10,7.70,0.30,5.00,20, bibliog  ,       ,       ,       ,       ,       ,       
16957912,ISC-GEM,1906,8,17,0,11,10.5,178.1800,51.8530,17.30,13.10,89.90,110.00,34.50,8.30,0.20,3.80,21, bibliog  ,       ,       ,       ,       ,       ,       
16957935,ISC-GEM,1906,12,22,18,21,11.1,85.5720,44.2840,21.70,9.80,29.10,15.00,25.00,7.76,0.53,       ,    ,          ,       ,       ,       ,       ,       ,       
16957943,ISC-GEM,1907,1,4,5,19,11.8,94.2090,1.8730,28.50,15.60,30.60,15.00,25.00,7.80,0.30,5.90,20, bibliog  ,       ,       ,       ,       ,       ,       
16957951,ISC-GEM,1907,4,15,6,8,25.34,-97.3040,16.5130,30.50,18.60,151.80,30.00,12.50,7.80,0.40,5.90,20, bibliog  ,       ,       ,       ,       ,       ,       
16957956,ISC-GEM,1907,5,4,5,51,1.65,152.8210,-6.7080,43.00,18.50,14.90,25.00,9.80,6.63,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
16957975,ISC-GEM,1907,10,21,4,23,43.83,70.5850,39.1790,30.80,13.00,28.50,20.00,9.90,7.41,0.47,       ,    ,          ,       ,       ,       ,       ,       ,       
16957984,ISC-GEM,1908,2,9,18,13,17.58,100.6560,29.2780,51.10,17.90,28.20,15.00,25.00,6.69,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
16958007,ISC-GEM,1908,12,12,12,54,57.27,96.7730,26.9480,45.50,15.00,15.30,15.00,9.00,6.95,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
16958009,ISC-GEM,1908,12,28,4,20,26.62,15.3490,38.0000,14.60,11.00,27.60,15.00,6.00,7.03,0.37,       ,    ,          ,       ,       ,       ,       ,       ,       
16958018,ISC-GEM,1909,3,13,14,29,0.92,142.2900,35.4070,22.80,12.90,140.00,15.00,35.30,7.11,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
16958043,ISC-GEM,1909,7,7,21,37,47.11,70.2510,35.3870,34.40,10.50,34.30,200.00,14.60,7.70,0.40,4.50,20, bibliog  ,       ,       ,       ,       ,       ,       
16958045,ISC-GEM,1909,7,30,10,51,51.73,-99.4270,16.4710,25.70,18.10,109.80,20.00,10.50,7.50,0.40,2.48,20, bibliog  ,       ,       ,       ,       ,       ,       
16958054,ISC-GEM,1909,10,20,23,41,22.94,69.3330,28.0740,32.00,11.00,28.40,35.00,25.00,7.00,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
16958079,ISC-GEM,1910,4,12,0,22,24.22,123.9730,25.9110,20.90,11.10,60.90,235.00,15.70,8.10,0.40,1.70,21, bibliog  ,       ,       ,       ,       ,       ,       
16958089,ISC-GEM,1910,6,16,6,30,43.13,169.4380,-19.5720,20.90,14.10,130.60,100.00,58.00,7.85,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
16958113,ISC-GEM,1910,11,9,6,2,0.69,166.9040,-16.2890,26.70,16.70,141.50,20.00,16.60,7.31,0.46,       ,    ,          ,       ,       ,       ,       ,       ,       
16958127,ISC-GEM,1910,12,16,14,44,55.88,126.0510,4.6850,28.30,11.90,65.70,15.00,43.90,7.61,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
16958129,ISC-GEM,1911,1,1,10,18,1.43,66.5710,37.3340,33.60,11.50,18.30,35.00,25.00,6.69,0.23,       ,    ,          ,       ,       ,       ,       ,       ,       
16958130,ISC-GEM,1911,1,3,23,25,48.71,78.5300,43.0130,22.00,8.10,28.30,20.00,3.20,7.70,0.30,4.90,20, bibliog  ,       ,       ,       ,       ,       ,       
16958134,ISC-GEM,1911,2,18,18,41,9,72.6280,38.3310,33.30,11.60,12.50,15.00,26.40,7.26,0.31,       ,    ,          ,       ,       ,       ,       ,       ,       
16958141,ISC-GEM,1911,4,18,18,14,27.49,56.3050,30.4600,72.00,12.40,36.20,15.00,25.00,6.50,0.40,7.00,18, bibliog  ,       ,       ,       ,       ,       ,       
16958148,ISC-GEM,1911,6,7,11,2,50.13,-102.4420,18.5170,21.10,12.70,164.00,30.00,25.40,7.60,0.40,2.83,20, bibliog  ,       ,       ,       ,       ,       ,       
16958149,ISC-GEM,1911,6,15,14,25,57.25,128.9350,29.0580,11.60,9.40,90.00,150.00,25.00,7.90,0.40,8.30,20, bibliog  ,       ,       ,       ,       ,       ,       
16958154,ISC-GEM,1911,7,12,4,7,38.24,127.1030,8.5460,18.20,9.90,62.60,15.00,15.00,7.69,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
16958156,ISC-GEM,1911,8,16,22,41,17.24,136.9440,7.2370,22.50,10.30,67.40,15.00,25.00,7.75,0.64,       ,    ,          ,       ,       ,       ,       ,       ,       
16958167,ISC-GEM,1911,10,14,23,23,59.16,80.2790,30.7590,42.20,10.10,16.40,20.00,25.00,6.49,0.22,       ,    ,          ,       ,       ,       ,       ,       ,       
16958175,ISC-GEM,1911,12,16,19,14,32.77,-99.9940,17.1590,13.80,12.10,100.10,30.00,8.20,7.30,0.31,       ,    ,          ,       ,       ,       ,       ,       ,       
16958205,ISC-GEM,1912,8,9,1,29,3.82,27.0230,40.6380,11.10,9.10,179.30,15.00,4.30,7.12,0.44,       ,    ,          ,       ,       ,       ,       ,       ,       
16958211,ISC-GEM,1912,9,29,20,51,23.88,136.8880,7.2990,23.80,10.40,69.70,15.00,16.80,7.47,0.45,       ,    ,          ,       ,       ,       ,       ,       ,       
914043,ISC-GEM,1913,3,14,8,45,4.31,126.1210,5.3540,22.00,10.00,73.80,15.00,14.70,7.77,0.32,       ,    ,          ,       ,       ,       ,       ,       ,       
914073,ISC-GEM,1913,5,30,11,47,11.93,151.7670,-4.6850,18.40,10.80,70.20,15.00,30.10,7.16,0.42,       ,    ,          ,       ,       ,       ,       ,       ,       
914076,ISC-GEM,1913,6,14,9,33,19.12,25.9520,43.6030,8.40,5.90,10.60,15.00,5.20,6.63,0.40,       ,    ,          ,       ,       ,       ,       ,       ,       
914078,ISC-GEM,1913,6,26,4,57,19.49,-173.8540,-20.5300,25.30,11.50,140.60,25.00,10.90,7.74,0.57,       ,    ,          ,       ,       ,       ,       ,       ,       
914087,ISC-GEM,1913,8,1,17,11,3.92,156.0050,48.1170,12.50,9.90,81.70,15.00,25.00,6.87,0.62,       ,    ,          ,       ,       ,       ,       ,       ,       
914088,ISC-GEM,1913,8,6,22,14,37.83,-73.8230,-16.4690,19.40,16.60,155.30,25.00,6.30,7.74,0.30,       ,    ,          ,       ,       ,       ,       ,       ,       
914108,ISC-GEM,1913,12,21,15,37,56.5,102.2270,24.2450,14.80,9.00,2.60,15.00,25.00,6.68,0.55,       ,    ,          ,       ,       ,       ,       ,       ,       
913984,ISC-GEM,1914,5,26,14,22,47.68,136.9430,-1.8290,19.60,14.20,58.70,15.00,25.00,8.10,0.61,       ,    ,          ,       ,       ,       ,       ,       ,       
913990,ISC-GEM,1914,6,25,19,7,25.91,101.8200,-3.9240,15.00,8.10,45.70,35.00,15.60,7.57,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
914001,ISC-GEM,1914,8,4,22,41,39.94,92.0900,42.7470,15.60,9.90,34.00,15.00,4.00,7.28,0.21,       ,    ,          ,       ,       ,       ,       ,       ,       
914008,ISC-GEM,1914,10,3,22,7,7.36,30.0210,37.6290,15.00,7.70,27.90,15.00,12.30,7.02,0.33,       ,    ,          ,       ,       ,       ,       ,       ,       
914010,ISC-GEM,1914,10,9,2,39,14.76,76.1810,32.6040,26.30,8.80,30.60,20.00,14.40,6.27,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
914014,ISC-GEM,1914,10,23,6,18,44.81,128.1410,4.2390,23.70,12.50,82.80,35.00,31.10,7.41,0.47,       ,    ,          ,       ,       ,       ,       ,       ,       
913880,ISC-GEM,1915,1,13,6,52,42.15,13.5850,42.1790,8.30,6.20,53.40,15.00,6.30,6.68,0.59,       ,    ,          ,       ,       ,       ,       ,       ,       
913884,ISC-GEM,1915,2,28,18,59,12.03,123.4920,23.3590,13.80,7.60,84.40,20.00,7.10,7.33,0.52,       ,    ,          ,       ,       ,       ,       ,       ,       
913898,ISC-GEM,1915,5,1,5,0,10.49,155.1620,48.3610,9.60,7.50,135.20,30.00,14.50,7.80,0.40,7.00,20, bibliog  ,       ,       ,       ,       ,       ,       
913925,ISC-GEM,1915,7,31,1,31,32.97,162.0520,54.1210,11.30,9.00,154.20,20.00,14.30,7.30,0.21,       ,    ,          ,       ,       ,       ,       ,       ,       
913942,ISC-GEM,1915,9,23,8,14,47.22,38.6880,14.4840,25.40,11.80,20.60,10.00,25.00,6.23,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
913944,ISC-GEM,1915,10,3,6,53,21.23,-117.6540,40.2580,12.50,7.00,142.80,10.00,25.00,6.80,0.30,2.10,19, bibliog  ,       ,       ,       ,       ,       ,       
913954,ISC-GEM,1915,12,3,2,39,24.54,91.6400,27.7000,16.80,9.10,32.80,15.00,25.00,6.55,0.38,       ,    ,          ,       ,       ,       ,       ,       ,       
913957,ISC-GEM,1915,12,17,7,5,5,79.1770,41.7110,12.00,7.70,49.40,20.00,6.90,6.45,0.28,       ,    ,          ,       ,       ,       ,       ,       ,       
913746,ISC-GEM,1916,1,1,13,20,49.25,152.5480,-4.7390,17.00,11.00,76.80,35.00,28.40,7.89,0.42,       ,    ,          ,       ,       ,       ,       ,       ,       
913749,ISC-GEM,1916,1,13,6,18,35.47,135.7310,-3.1960,21.20,9.20,66.70,25.00,25.00,7.12,0.58,       ,    ,          ,       ,       ,       ,       ,       ,       
913750,ISC-GEM,1916,1,13,8,20,32.63,138.0110,-3.9870,17.80,14.00,103.40,35.00,25.00,7.73,0.64,       ,    ,          ,       ,       ,       ,       ,       ,       
913755,ISC-GEM,1916,1,24,6,55,13.83,37.3290,40.0740,11.70,6.20,2.20,15.00,3.20,6.96,0.27,       ,    ,          ,       ,       ,       ,       ,       ,       
913761,ISC-GEM,1916,2,6,21,51,33.87,179.0510,50.4590,14.60,8.60,159.60,15.00,25.00,6.99,0.31,       ,    ,          ,       ,       ,       ,       ,       ,       
913843,ISC-GEM,1916,8,28,6,39,41.96,80.7450,29.7300,11.50,6.40,35.60,20.00,7.60,6.96,0.52,       ,    ,          ,       ,       ,       ,       ,       ,       
913864,ISC-GEM,1916,10,31,15,31,0.79,157.9980,49.7550,17.20,9.20,132.50,15.00,25.00,7.28,0.43,       ,    ,          ,       ,       ,       ,       ,       ,       
913481,ISC-GEM,1917,4,29,11,55,30.62,115.3290,56.2850,24.30,8.70,64.80,10.00,25.00,6.48,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
913483,ISC-GEM,1917,5,1,18,26,20.65,-176.4610,-31.0800,32.30,16.10,159.50,15.00,25.00,8.20,0.40,2.30,21, bibliog  ,       ,       ,       ,       ,       ,       
913517,ISC-GEM,1917,5,31,8,47,32.21,-159.4330,54.9340,19.30,10.00,165.60,35.00,9.60,7.40,0.30,1.70,20, bibliog  ,       ,       ,       ,       ,       ,       
913548,ISC-GEM,1917,6,26,5,49,46.37,-173.5620,-14.7390,23.80,9.20,141.50,15.00,25.00,8.00,0.30,1.26,21, bibliog  ,       ,       ,       ,       ,       ,       
913586,ISC-GEM,1917,7,29,21,52,32.85,141.5720,-3.6870,21.10,8.90,72.50,35.00,13.60,7.41,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
913594,ISC-GEM,1917,7,30,23,54,9.05,104.1880,28.3790,13.80,11.40,38.30,15.00,25.00,6.91,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
913599,ISC-GEM,1917,8,5,15,50,25.74,176.4370,-41.4810,36.90,13.10,176.40,15.00,4.90,6.63,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
913745,ISC-GEM,1917,12,29,22,50,40.01,-96.4870,15.5920,19.30,15.30,41.00,20.00,8.20,6.93,0.49,       ,    ,          ,       ,       ,       ,       ,       ,       
913057,ISC-GEM,1918,2,7,5,20,20.51,126.0590,6.9930,15.40,10.00,86.50,35.00,20.80,6.86,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
913072,ISC-GEM,1918,2,13,6,7,18.12,117.1040,23.5820,11.60,9.70,133.40,15.00,25.00,7.32,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
913116,ISC-GEM,1918,4,13,0,51,22.17,85.5170,-4.9570,31.00,17.30,25.40,10.00,25.00,6.33,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
913126,ISC-GEM,1918,4,21,22,32,29.88,-117.4330,33.6470,14.70,7.20,38.30,10.00,4.50,6.70,0.30,1.40,19, bibliog  ,       ,       ,       ,       ,       ,       
913146,ISC-GEM,1918,5,20,14,36,7.02,-34.9330,7.5060,13.20,7.80,145.90,15.00,10.50,7.27,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
913147,ISC-GEM,1918,5,20,17,55,7.21,-71.8570,-29.2920,17.30,10.60,16.40,20.00,16.00,6.81,0.42,       ,    ,          ,       ,       ,       ,       ,       ,       
913148,ISC-GEM,1918,5,20,18,3,40.8,153.1710,-2.2680,28.10,13.00,85.90,15.00,25.00,6.98,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
913160,ISC-GEM,1918,6,4,4,3,34.18,146.1590,-6.4470,33.80,9.60,79.60,15.00,7.70,6.23,0.38,       ,    ,          ,       ,       ,       ,       ,       ,       
913190,ISC-GEM,1918,7,1,6,8,35.55,126.4680,8.9570,19.20,10.80,79.70,35.00,15.80,6.51,0.67,       ,    ,          ,       ,       ,       ,       ,       ,       
913192,ISC-GEM,1918,7,3,6,52,8.74,143.4040,-3.2110,15.90,9.50,72.50,15.00,5.60,7.49,0.32,       ,    ,          ,       ,       ,       ,       ,       ,       
913196,ISC-GEM,1918,7,8,10,22,8.9,90.8530,24.5990,10.60,7.50,21.50,15.00,25.00,7.19,0.42,       ,    ,          ,       ,       ,       ,       ,       ,       
913206,ISC-GEM,1918,7,21,6,9,45.69,155.5480,-7.3310,17.40,11.80,94.10,20.00,14.60,6.65,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
