"ID","lon","lat","elev","grav","FreeAir","C_Bouguer"
30116,104.318,24.867,1453.5584,978465.1651,-32.671944,-195.8459249
30115,104.3,24.846,1460.9852,978458.5229,-35.57716964,-199.2636421
30114,104.286,24.827,1488.0685,978451.6136,-32.82441138,-199.2138046
30113,104.267,24.813,1504.689,978442.6057,-35.74238437,-203.7788928
30112,104.247,24.793,1537.4515,978438.1513,-28.71558727,-200.4998287
30111,104.232,24.778,1560.1569,978432.902,-25.93036712,-200.1857096
30110,104.209,24.767,1565.7713,978404.1527,-52.19230151,-226.9459691
30109,104.186,24.762,1704.267,978380.5571,-32.72490912,-223.6100843
30108,104.162,24.756,1820.0005,978386.9155,9.741860745,-194.3420927
30107,104.141,24.756,1781.3441,978370.742,-18.35446712,-218.0915219
30106,104.122,24.753,1833.4413,978369.2622,-3.559987282,-209.216342
30105,104.102,24.762,1857.5522,978373.8998,7.896113162,-200.6444873
30104,104.079,24.777,1834.0593,978376.2424,1.962745976,-204.1019265
30103,104.059,24.793,1837.8258,978383.0149,8.797558129,-197.7984398
30102,104.041,24.808,1802.8318,978382.7589,-3.28270175,-205.9805219
30101,104.026,24.819,1803.1081,978381.1811,-5.531742062,-208.2707243
30117,103.984,24.822,1823.2051,978469.3204,88.59969941,-116.3670602
30118,103.973,24.797,1853.2616,978374.001,4.269506716,-204.1010647
30119,103.959,24.783,1848.2166,978368.4955,-1.829893515,-209.625373
30120,103.947,24.771,1841.2756,978368.5798,-3.06203395,-210.0887855
30121,103.934,24.741,1851.3614,978369.4099,2.938312196,-205.2526721
30122,103.922,24.714,1823.8926,978367.0193,-6.072368845,-211.1753694
30123,103.907,24.688,1814.5431,978373.4539,-0.739430923,-204.7956593
30124,103.888,24.665,1819.496,978375.1281,4.037602495,-200.5645788
30125,103.868,24.645,1812.4593,978372.9668,1.074844311,-202.7016415
30126,103.844,24.627,1791.9841,978371.3417,-5.634177121,-207.0251487
30127,103.822,24.613,1784.5212,978371.2012,-7.119292499,-207.6390352
30128,103.8,24.604,1757.2064,978372.3495,-13.78073797,-211.2524594
30129,103.781,24.59,1763.3636,978379.5277,-3.746900473,-201.9571273
30130,103.758,24.576,1732.7942,978376.9949,-14.75239144,-209.5363033
