"lon","lat","elev","grav","name"
102.47925,24.42858,2069.451,978418.218,2001
102.48018,24.42824,2067.712,978418.453,2002
102.48153,24.42745,2067.1,978418.08,2003
102.48304,24.42756,2074.524,978416.543,2004
102.48446,24.42697,2081.817,978414.533,2005
102.48618,24.4278,2088.625,978413.222,2006
102.48756,24.4267,2095.781,978410.926,2007
102.48936,24.42751,2108.019,978408.472,2008
102.49068,24.42945,2137.625,978402.387,2009
102.4914,24.43117,2144.911,978401.289,2010
102.49398,24.43166,2125.456,978404.942,2011
102.49546,24.43183,2096.462,978411.081,2012
102.4962,24.4299,2078.394,978413.978,2013
102.4978,24.42941,2062.109,978417.16,2014
102.49762,24.42645,2002.729,978429.61,2015
102.49689,24.42381,1970.021,978436.011,2016
102.49738,24.42049,1945.557,978440.735,2017
102.49887,24.41963,1926.843,978443.61,2018
102.50027,24.41928,1904.199,978447.653,2019
102.5017,24.41844,1884.896,978450.984,2020
102.50429,24.41777,1856.415,978454.696,2021
102.50421,24.41722,1838.177,978458.663,2022
102.50654,24.41774,1764.087,978473.669,2023
102.50499,24.41444,1698.948,978486.942,2024
102.50633,24.41162,1677.214,978490.792,2025
102.50751,24.41096,1667.412,978492.059,2026
102.50866,24.40963,1657.04,978492.763,2027
102.51023,24.40918,1650.289,978492.494,2028
102.5109,24.40746,1651.261,978490.854,2029
102.52604,24.4429,1685.843,978487.315,1001
102.52775,24.4419,1674.709,978487.961,1002
102.52868,24.4405,1674.607,978486.827,1003
102.53021,24.44003,1668.105,978486.897,1004
102.53196,24.43918,1663.662,978487.033,1005
102.53343,24.43876,1661.456,978486.798,1006
102.53486,24.43812,1659.767,978486.59,1007
102.53647,24.43749,1659.956,978486.064,1008
102.53801,24.43684,1661.283,978485.483,1009
102.53947,24.43622,1661.163,978485.322,1010
102.54092,24.43559,1660.8,978485.371,1011
102.54246,24.43511,1660.089,978485.7,1012
102.54382,24.4343,1659.449,978485.908,1013
102.54495,24.43376,1659.061,978486.28,1014
102.54652,24.43316,1658.794,978486.71,1015
102.54835,24.43223,1658.169,978487.439,1016
102.55019,24.43126,1660.279,978487.52,1017
102.55568,24.4286,1655.209,978487.881,1018
102.55702,24.42774,1657.338,978488.993,1019
102.55856,24.42644,1660.12,978489.244,1020
102.55944,24.4256,1656.491,978490.099,1021
102.56089,24.42414,1656.271,978490.564,1022
102.56152,24.42339,1656.06,978490.869,1023
102.56291,24.42224,1656.017,978491.003,1024
102.56459,24.4217,1655.693,978491.28,1025
102.56603,24.42112,1656.067,978491.219,1026
102.56759,24.42039,1657.609,978491.146,1027
102.56906,24.41983,1655.385,978491.925,1028
102.57067,24.41922,1655.734,978492.129,1029
102.5722,24.41861,1655.37,978492.399,1030
102.57334,24.41815,1655.631,978492.684,1031
102.57497,24.41748,1656.231,978492.866,1032
102.5534,24.43019,1657.029,978492.942,1033
102.55286,24.43026,1657.811,978492.973,1034
102.55116,24.43094,1664.209,978492.423,1035
102.54524,24.39352,1636.605,978493.075,11022
102.54626,24.39563,1638.427,978492.683,11021
102.54629,24.3972,1639.613,978491.894,11020
102.54774,24.3981,1645.41,978490.721,11019
102.54904,24.40109,1641.576,978490.714,11018
102.54873,24.40353,1639.943,978490.189,11017
102.54971,24.4055,1640.791,978490.046,11016
102.55121,24.40695,1641.972,978490.211,11015
102.55165,24.40661,1641.977,978490.413,11014
102.55281,24.408,1642.851,978490.553,11013
102.55383,24.4093,1643.452,978490.697,11012
102.55477,24.41093,1644.368,978490.784,11011
102.55405,24.41165,1644.23,978490.526,11010
102.55524,24.41362,1646.683,978490.37,11009
102.55626,24.41455,1647.445,978490.588,11008
102.55745,24.41607,1648.706,978490.791,11007
102.5589,24.41745,1651.55,978490.822,11006
102.56019,24.41877,1654.236,978490.73,11005
102.56117,24.42066,1658.179,978490.316,11004
